product_code,competitor_name,competitor_product_url,note,last_checked
AK121121,bazenonline,https://www.bazenonline.cz/asin-aqua-home-clf,,2026-04-22
AK121121,bazeny24,https://www.bazeny24.cz/detail/asin-aqua-home-clf-vs-5528,,2026-04-22
